epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,26587,1.11035,0.50669,0.93931,0.82573,0.52984,0.60243,0.35811,1.15677,0.479,0.95432,0.001585,0.001585,0.001585
87,26893.2,1.10596,0.50665,0.93755,0.82568,0.53032,0.60284,0.35841,1.15649,0.47863,0.95422,0.001486,0.001486,0.001486
88,27199.4,1.10509,0.50364,0.93789,0.82726,0.52928,0.60314,0.35869,1.15637,0.47815,0.95411,0.001387,0.001387,0.001387
89,27506.6,1.10185,0.50153,0.93554,0.82771,0.52978,0.60345,0.35902,1.15625,0.47793,0.95411,0.001288,0.001288,0.001288
90,27814.8,1.09963,0.49919,0.93499,0.82836,0.52964,0.60365,0.35927,1.15603,0.4776,0.95396,0.001189,0.001189,0.001189
91,28137.2,1.09734,0.47661,0.92975,0.82935,0.5294,0.60379,0.35949,1.15604,0.4773,0.95397,0.00109,0.00109,0.00109
92,28442.3,1.08642,0.46855,0.92787,0.83049,0.52944,0.60421,0.35976,1.15592,0.4772,0.95384,0.000991,0.000991,0.000991
93,28749.1,1.08434,0.46834,0.92491,0.82931,0.52948,0.60412,0.35999,1.15556,0.47664,0.95359,0.000892,0.000892,0.000892
94,29054.6,1.07865,0.46322,0.92411,0.83034,0.52957,0.60458,0.36028,1.15558,0.47638,0.95348,0.000793,0.000793,0.000793
95,29359.5,1.07691,0.46162,0.92134,0.83041,0.53013,0.60503,0.36064,1.15546,0.47609,0.95331,0.000694,0.000694,0.000694
96,29666.1,1.07326,0.45805,0.92186,0.83051,0.53058,0.60544,0.36094,1.15536,0.47565,0.95318,0.000595,0.000595,0.000595
97,29971.2,1.06559,0.45534,0.91991,0.83075,0.53055,0.60584,0.36112,1.15526,0.47544,0.95312,0.000496,0.000496,0.000496
98,30275.7,1.06339,0.45289,0.92086,0.83062,0.53084,0.60598,0.3612,1.15506,0.47514,0.95303,0.000397,0.000397,0.000397
99,30579.2,1.0633,0.45064,0.91903,0.83098,0.5307,0.60609,0.36139,1.15481,0.47498,0.95295,0.000298,0.000298,0.000298
100,30885.2,1.05808,0.44751,0.91693,0.83163,0.53114,0.6066,0.36163,1.15467,0.47484,0.95294,0.000199,0.000199,0.000199
